CD45 APC-A750-A,SSC-A,cell_type
0.5548990622049159,0.4584958656519407,F
0.9186377465339319,0.5599171645680979,Mono
0.6467154019525221,0.7022067776380574,
0.9085734045086066,0.6795939284245728,
0.9115197662652987,0.5460742494168764,Mono
0.5232137627055282,0.5579825930166203,F
0.8437020632054194,0.5091398090173107,Mono
0.8899581625691942,0.45609743332122876,Lym
0.8601680547747813,0.5003545728697482,Mono
0.8881206472209606,0.4607671562565799,Lym
0.5295127902626774,0.39574078896320997,F
0.8371605527824499,0.47612951829846284,
0.8856036291390854,0.5222586189573418,Mono
0.8232460715259139,0.6607057054286983,C
0.43882714833738823,0.38475315477820865,
0.8510621858435455,0.5820152407340176,Gra
0.8654252644546144,0.6128065761462007,
0.7080977505671626,0.6953803693495352,
0.5617253132693202,0.4061607309151139,F
0.3823885405224006,0.42585759328424955,
0.5519854371670009,0.4205102959533516,F
0.8754502391598806,0.5114676086709585,Mono
0.7865371653450312,0.5090416729356504,
0.6157432818246776,0.5099264117830141,F
0.7078189114965746,0.4977239115215302,F
0.8884825902311695,0.5208239364710187,Mono
0.804981807993214,0.4551785402762308,
0.8780915750380643,0.4271275830383465,Lym
0.8984808863901348,0.5386566206774699,Mono
0.4994989325110998,0.515685771056525,F
0.759501784371448,0.5874836401424346,Gra
0.44632790413855433,0.32443291000812907,
0.629845666647516,0.5697984760751356,F
0.3445902000716826,0.0,
0.5830648642460556,0.46672034709070115,F
0.8173710136827852,0.4214690175349494,
0.7886254729897615,0.6088598986032676,Gra
0.882380733620269,0.553093612211911,Mono
0.6274412459415338,0.5281832221026241,F
0.6018020510834539,0.510042177073467,F
0.5436245601827772,0.4344105864883351,F
0.7154974931522928,0.4729849664904883,
0.7403530053913598,0.5882078652265286,Gra
0.8893266795502273,0.5399485717220992,Mono
0.5644991182297427,0.4673497839988092,F
0.46196250444327025,0.3169853190060145,
0.6097051332577599,0.48719167737228275,F
0.9177312895745043,0.6904816630132693,
0.8971973643355148,0.5014277029301178,Mono
0.8790251524853279,0.4166090647067299,Lym
0.4506479566148485,0.4091272453225597,
0.45070496406577826,0.232129828361479,
0.8469641982003376,0.5851177867471445,Gra
0.8631427687153478,0.5191894017559475,Mono
0.8645554640413101,0.5230288544532887,Mono
0.8721781909289534,0.6498887856196712,C
0.4822039446178851,0.44184176681837445,F
0.8562110037259812,0.4212888818807285,Lym
0.5870115872955837,0.45620330067562564,F
0.7632564036684912,0.6160992117138807,Gra
0.6299506976528465,0.5205528543142903,F
0.47923975871437186,0.39935996656094974,F
0.32891559244067153,0.3024432952032987,
0.8333881715589387,0.6675660870522371,C
0.37179829825880695,0.47045750015260895,
0.8513749996533249,0.5989572793521708,Gra
0.7011727462150936,0.5606359714866903,
0.4558699343931001,0.3626187741196751,
0.42305081115656656,0.5132056785266007,
0.5689357472866458,0.4781773463621105,F
0.49174003790372034,0.4057317799359086,F
0.35795744100429605,0.5589078905855228,
0.7915350854890679,0.5758822698988971,Gra
0.8794627276978004,0.5252014692435477,Mono
0.4035941214423592,0.4924962325177727,
0.8767540239798113,0.4080945330963481,Lym
0.6344079005419714,0.4798670268537865,F
0.47291395539089126,0.3528956140890462,F
0.8514959743962428,0.42377131428002884,Lym
0.44395604331297805,0.4339907200044841,
0.9031958380542381,0.5382639732023478,Mono
0.4391796737932251,0.3773217382198546,
0.48637511891352436,0.3769080348373192,F
0.9075906298209823,0.5086123101427811,Mono
0.46199899813748335,0.37564748901592454,F
0.7322158200378263,0.48397558512812006,
0.5207123795954192,0.389215699190522,F
0.9061679347783518,0.4715495714934029,Lym
0.5184403316111048,0.4211885957292757,F
0.9004272930321703,0.5432345996199274,Mono
0.847912879507854,0.5198063312667334,Mono
0.7428291355411757,0.6357945033531284,Gra
0.4966471574897521,0.37758540342820474,F
0.7818737256003803,0.5174741515999984,
0.3498202249653265,0.4124712921626281,
0.7556876690254503,0.6255318038819377,Gra
0.7667779887214936,0.5865919673776543,Gra
0.3521847184298384,0.391892187660716,
0.4068032359394908,0.44799669280833654,
0.511683524368771,0.4080544390746853,F
0.5209734185448665,0.35268295491842355,F
0.4843866816896504,0.4130122333204379,F
0.7674835325004236,0.5633171465514955,Gra
0.7366497038998421,0.551792534789765,Gra
0.9025459665229043,0.6682049695696877,
0.17517301075809188,0.4467968934991994,
0.4865390608750008,0.4238106153503912,F
0.9128498143701261,0.4692985285975854,Lym
0.8647380920667918,0.4164376251855733,Lym
0.828746468663424,0.4997469678298141,
0.6335018308515974,0.38266545203248714,
0.8894143617790311,0.4884194160775596,
0.9390685130506323,0.5790520623554595,
0.7990517966610725,0.5735621077487945,Gra
0.8247874504184883,0.6033992500132264,Gra
0.803590387076221,0.587061920501359,Gra
0.8170719191645673,0.5249456915456835,
0.789480391597389,0.5693053046353321,Gra
0.8113884994210545,0.49186036125170957,
0.9164467769261688,0.576521077333565,
0.7664366173412389,0.5034004600973438,
0.9051767478412251,0.4456702286474866,Lym
0.4623144426803053,0.5805750823793383,
0.8495551078904899,0.5100551109315019,Mono
0.8488564907743633,0.6079944955728775,Gra
